DBN,School.Name,Grade,Category,Number.Tested.2013,Mean.Scale.Score.2013,Three.Four.2013,Three.Four.Per.2013,Number.Tested.2014,Mean.Scale.Score.2014,Three.Four.2014,Three.Four.Per.2014,Number.Tested.2015,Mean.Scale.Score.2015,Three.Four.2015,Three.Four.Per.2015,Number.Tested.2016,Mean.Scale.Score.2016,Three.Four.2016,Three.Four.Per.2016,Number.Tested.2017,Mean.Scale.Score.2017,Three.Four.2017,Three.Four.Per.2017
01M015,PS 015 ROBERTO CLEMENTE,5,All Students,24,283.95830000000001,1,4.166667,21,268,1,4.761905,24,281.04169999999999,1,4.166667,16,288,3,18.75,17,310.41180000000003,5,29.41176
01M019,PS 019 ASHER LEVY,5,All Students,36,303.30560000000003,9,25,34,291.17649999999998,6,17.64706,29,316,12,41.37931,32,311.40629999999999,17,53.125,27,325.51850000000002,15,55.55556
01M020,PS 020 ANNA SILVER,5,All Students,76,292.15789999999998,10,13.15789,69,293.88409999999999,17,24.63768,58,297.56900000000002,19,32.75862,73,293.7534,17,23.28767,57,302.54390000000001,18,31.57895
01M034,PS 034 FRANKLIN D ROOSEVELT,5,All Students,30,292.9667,3,10,42,291.26190000000003,7,16.66667,35,294.05709999999999,8,22.85714,29,285.1379,5,17.24138,28,296.07139999999998,5,17.85714
01M063,THE STAR ACADEMY  PS63,5,All Students,22,287.86360000000002,4,18.18182,17,284.05880000000002,3,17.64706,20,294.89999999999998,4,20,12,300.5,4,33.33333,18,321.94439999999997,12,66.66667
01M064,PS 064 ROBERT SIMON,5,All Students,39,295.69229999999999,8,20.51282,37,289.43239999999997,6,16.21622,37,284.59460000000001,2,5.405405,42,293.04759999999999,8,19.04762,43,301.32560000000001,13,30.23256
01M110,PS 110 FLORENCE NIGHTINGALE,5,All Students,65,313.21539999999999,27,41.53846,45,303.57780000000002,18,40,54,311.66669999999999,26,48.14815,65,306.69229999999999,27,41.53846,47,332.08510000000001,31,65.95745
01M134,PS 134 HENRIETTA SZOLD,5,All Students,38,289.6053,3,7.894737,52,290.88459999999998,5,9.615385,39,296.84620000000001,6,15.38462,34,311.2353,16,47.05882,64,282.10939999999999,9,14.0625
01M140,PS 140 NATHAN STRAUS,5,All Students,25,280.88,0,0,24,276.08330000000001,1,4.166667,25,282.8,1,4,21,276.80950000000001,4,19.04762,29,293.4828,8,27.58621
01M142,PS 142 AMALIA CASTRO,5,All Students,54,288.01850000000002,4,7.407407,49,283.71429999999998,3,6.122449,56,283.91070000000002,5,8.928571,46,290.1087,8,17.3913,60,293.16669999999999,11,18.33333
01M184,PS 184M SHUANG WEN,5,All Students,56,331.44639999999998,40,71.42857,62,318.67739999999998,37,59.67742,74,333.2432,52,70.27027,63,325.07940000000002,43,68.25397,60,321.39999999999998,33,55
01M188,PS 188 THE ISLAND SCHOOL,5,All Students,33,274.87880000000001,1,3.030303,44,272.7045,4,9.090909,48,278.20830000000001,5,10.41667,48,282.95830000000001,6,12.5,36,284.41669999999999,6,16.66667
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,5,All Students,25,316.68,10,40,15,325.5333,10,66.66667,26,317.38459999999998,16,61.53846,18,307.44439999999997,9,50,34,328.41180000000003,23,67.64706
01M361,THE CHILDREN S WORKSHOP SCHOOL,5,All Students,24,303.16669999999999,6,25,35,300.37139999999999,11,31.42857,32,312.03129999999999,13,40.625,31,323.35480000000001,19,61.29032,25,326.92,19,76
01M363,NEIGHBORHOOD SCHOOL,5,All Students,28,304.3571,8,28.57143,28,297.92860000000002,8,28.57143,16,303.3125,6,37.5,17,303.52940000000001,7,41.17647,7,279.8571,1,14.28571
01M364,EARTH SCHOOL,5,All Students,28,305.28570000000002,7,25,18,320.33330000000001,10,55.55556,9,320.11110000000002,5,55.55556,20,319.2,11,55,12,331.58330000000001,8,66.66667
01M539,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH HS,5,All Students,101,346.1782,92,91.08911,107,350.37380000000002,103,96.26168,130,349.14620000000002,122,93.84615,109,356.86239999999998,106,97.24771,109,356.37610000000001,105,96.33028
02M001,PS 001 ALFRED E SMITH,5,All Students,62,307.88709999999998,30,48.3871,72,308.45830000000001,32,44.44444,63,299.23809999999997,23,36.50794,71,293.63380000000001,15,21.12676,60,294.89999999999998,22,36.66667
02M002,PS 002 MEYER LONDON,5,All Students,110,312,48,43.63636,134,303.3134,51,38.0597,113,305.33629999999999,38,33.62832,104,306.125,43,41.34615,100,310.75,50,50
02M003,PS 003 CHARRETTE SCHOOL,5,All Students,97,326.37110000000001,66,68.04124,105,320.01900000000001,59,56.19048,99,319.58589999999998,51,51.51515,61,331.04919999999998,45,73.77049,129,324.37209999999999,77,59.68992
02M006,PS 006 LILLIE D BLAKE,5,All Students,119,333.44540000000001,86,72.26891,118,339.87290000000002,92,77.9661,89,337.3596,68,76.40449,109,340.1651,90,82.56881,104,340.86540000000002,81,77.88462
02M011,PS 011 WILLIAM T HARRIS,5,All Students,87,325.93099999999998,56,64.36782,107,321.62619999999998,62,57.94393,98,323.30610000000001,57,58.16327,122,320.87700000000001,78,63.93443,139,323.036,82,58.99281
02M033,PS 033 CHELSEA PREP,5,All Students,50,301.27999999999997,15,30,66,304.197,23,34.84848,68,310.72059999999999,34,50,94,324.79790000000003,50,53.19149,95,330.75790000000001,64,67.36842
02M040,PS 040 AUGUSTUS SAINT GAUDENS,5,All Students,87,330.43680000000001,61,70.11494,71,327.83100000000002,46,64.78873,88,332.71589999999998,64,72.72727,93,346.40859999999998,84,90.32258,86,344.48840000000001,71,82.55814
02M041,PS 041 GREENWICH VILLAGE,5,All Students,111,329.88290000000001,79,71.17117,116,324.33620000000002,80,68.96552,134,328.20150000000001,100,74.62687,107,338.12150000000003,89,83.17757,111,339.27929999999998,83,74.77477
02M042,PS 042 BENJAMIN ALTMAN,5,All Students,105,330.05709999999999,74,70.47619,117,318.33330000000001,67,57.26496,115,320.64350000000002,55,47.82609,128,315.42970000000003,72,56.25,116,320.1379,68,58.62069
02M051,PS 051 ELIAS HOWE,5,All Students,52,297.59620000000001,10,19.23077,56,301.44639999999998,15,26.78571,45,303.57780000000002,13,28.88889,45,304.11110000000002,17,37.77778,46,312.5,19,41.30435
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,5,All Students,81,328.60489999999999,53,65.4321,87,328.79309999999998,62,71.26437,97,328.0206,69,71.13402,91,341.05489999999998,76,83.51648,90,338.68889999999999,72,80
02M077,PS 77 LOWER LAB SCHOOL,5,All Students,53,351.35849999999999,50,94.33962,57,346.68419999999998,49,85.96491,60,349.36669999999998,53,88.33333,52,353.9615,50,96.15385,58,361.55169999999998,58,100
02M089,PS 89,5,All Students,77,320.7792,45,58.44156,75,327.98669999999998,52,69.33333,42,333.57139999999998,29,69.04762,46,335.02170000000001,37,80.43478,54,340.87040000000002,46,85.18519
02M111,PS 111 ADOLPH S OCHS,5,All Students,66,297.98480000000001,15,22.72727,42,300.88099999999997,14,33.33333,46,293.63040000000001,12,26.08696,47,301.4255,17,36.17021,43,307.88369999999998,16,37.2093
02M116,PS 116 MARY LINDLEY MURRAY,5,All Students,124,328.85480000000001,89,71.77419,126,327.15870000000001,84,66.66667,99,318.81819999999999,56,56.56566,118,323.14409999999998,71,60.16949,112,318.92860000000002,58,51.78571
02M124,PS 124 YUNG WING,5,All Students,129,331.50389999999999,85,65.89147,134,320.79849999999999,79,58.95522,138,324.7681,81,58.69565,130,315.63850000000002,68,52.30769,130,326.87689999999998,83,63.84615
02M126,PS 126 JACOB AUGUST RIIS,5,All Students,67,306.25369999999998,23,34.328360000000004,67,310.209,24,35.8209,67,308.16419999999999,29,43.28358,50,291.44,13,26,54,305.33330000000001,17,31.48148
02M130,PS 130 HERNANDO DE SOTO,5,All Students,153,321.1046,86,56.20915,160,322.1875,84,52.5,134,323.89550000000003,83,61.9403,129,334.64339999999999,98,75.96899,170,327.37650000000002,111,65.29412
02M150,PS 150,5,All Students,27,341,22,81.48148,23,331.5652,15,65.21739,25,333.72,20,80,24,336.79169999999999,19,79.16667,25,350.12,20,80
02M158,PS 158 BAYARD TAYLOR,5,All Students,116,325.4828,85,73.27586,106,332.00940000000003,74,69.81132,94,334.03190000000001,71,75.53191,107,334.29910000000001,86,80.37383,86,339.81400000000002,69,80.23256
02M183,PS 183 ROBERT L STEVENSON,5,All Students,80,331.7,55,68.75,83,333.02409999999998,62,74.6988,93,327.20429999999999,60,64.51613,87,322.96550000000002,57,65.51724,69,334.8116,50,72.46377
02M198,PS 198 ISADOR E IDA STRAUS,5,All Students,75,290.94670000000002,10,13.33333,74,291.79730000000001,11,14.86486,47,288.46809999999999,7,14.89362,94,316.73399999999998,49,52.12766,62,324.17739999999998,33,53.22581
02M212,PS 212 MIDTOWN WEST,5,All Students,57,325.8596,35,61.40351,53,329.0566,37,69.81132,52,328.15379999999999,36,69.23077,49,339.79590000000002,41,83.67347,51,329.68630000000002,32,62.7451
02M217,PSIS 217 ROOSEVELT ISLAND,5,All Students,33,295.4545,12,36.36364,28,294.96429999999998,6,21.42857,35,317.45710000000003,21,60,54,319,30,55.55556,52,327.84620000000001,30,57.69231
02M225,ELLA BAKER SCHOOL,5,All Students,28,310.32139999999998,10,35.71429,17,305.64710000000002,5,29.41176,14,314.28570000000002,5,35.71429,20,319.89999999999998,10,50,17,330.52940000000001,10,58.82353
02M234,PS 234 INDEPENDENCE SCHOOL,5,All Students,143,324.37759999999997,91,63.63636,159,326.84280000000001,106,66.66667,112,327.25889999999998,83,74.10714,91,340.95600000000002,72,79.12088,87,340.77010000000001,68,78.16092
02M290,PS 290 MANHATTAN NEW SCHOOL,5,All Students,101,331.90100000000001,68,67.32673,112,331.49110000000002,79,70.53571,120,332.26670000000001,92,76.66667,105,330.28570000000002,81,77.14286,80,344.21249999999998,62,77.5
02M442,BALLET TECH NYC PUBLIC SCHOOL FOR DANCE,5,All Students,46,316,20,43.47826,35,328.57139999999998,21,60,41,329.31709999999998,25,60.97561,40,337.32499999999999,34,85,36,330.13889999999998,24,66.66667
03M009,PS 009 SARAH ANDERSON,5,All Students,85,331.63529999999997,61,71.76471,64,329.03129999999999,44,68.75,106,339.88679999999999,77,72.64151,102,331.46080000000001,71,69.60784,65,341.18459999999999,48,73.84615
03M075,PS 075 EMILY DICKINSON,5,All Students,103,295.3107,26,25.24272,84,302.6071,24,28.57143,97,307.94850000000002,31,31.95876,68,306.63240000000002,29,42.64706,69,319.53620000000001,40,57.97101
03M076,PS 076 A PHILIP RANDOLPH,5,All Students,41,295.0976,9,21.95122,28,285.92860000000002,5,17.85714,38,285.23680000000002,2,5.263158,39,284.94869999999997,8,20.51282,42,286.47620000000001,9,21.42857
03M084,PS 084 LILLIAN WEBER,5,All Students,55,298.0727,10,18.18182,72,318.11110000000002,31,43.05556,48,311,22,45.83333,66,308.68180000000001,29,43.93939,57,311.29820000000001,26,45.61404
03M087,PS 087 WILLIAM SHERMAN,5,All Students,148,326.60809999999998,97,65.54054,121,332.23140000000001,83,68.59504,146,337.5616,116,79.45205,107,329.46730000000002,75,70.09346,110,347.65449999999998,91,82.72727
03M145,PS 145 THE BLOOMINGDALE SCHOOL,5,All Students,57,286.31580000000002,9,15.78947,44,280.56819999999999,3,6.818182,50,283.36,7,14,46,277.30430000000001,4,8.695652,38,284.71050000000002,4,10.52632
03M149,PS 149 SOJOURNER TRUTH,5,All Students,33,272.57580000000002,0,0,27,276.11110000000002,0,0,19,270.52629999999999,1,5.263158,26,270.4615,4,15.38462,25,279.48,1,4
03M163,PS 163 ALFRED E SMITH,5,All Students,89,307.41570000000002,30,33.70787,80,311.125,39,48.75,106,322.48110000000003,61,57.54717,100,322.20999999999998,59,59,82,321.69510000000002,47,57.31707
03M165,PS 165 ROBERT E SIMON,5,All Students,112,298.1696,33,29.46429,90,296.15559999999999,25,27.77778,74,289.70269999999999,15,20.27027,70,296.12860000000001,25,35.71429,93,307.79570000000001,39,41.93548
03M166,PS 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,5,All Students,96,318.52080000000001,51,53.125,81,327.93830000000003,46,56.79012,95,328.97890000000001,62,65.26316,79,332.86079999999998,56,70.88608,68,352.44119999999998,55,80.88235
03M180,PS 180 HUGO NEWMAN,5,All Students,68,284.7353,5,7.352941,62,297.61290000000002,13,20.96774,56,308.32139999999998,17,30.35714,60,294.25,17,28.33333,45,297.37779999999998,8,17.77778
03M191,PS 191 AMSTERDAM,5,All Students,45,289.9556,10,22.22222,35,278.82859999999999,4,11.42857,37,295.13510000000002,5,13.51351,37,287.45949999999999,9,24.32432,29,277.68970000000002,6,20.68966
